Id,OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,EmailClusterId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,ThreatFamily,FileName,FolderPath,ResourceIdName,ResourceType,Roles,OSFamily,OSVersion,AntispamDirection,SuspicionLevel,LastVerdict,CountryCode,State,City
1434519079553,583,95280,586327,2024-06-12T10:00:56.000Z,5,80,SuspiciousActivity,,BenignPositive,,,CloudApplication,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,3,3,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
661424967867,30,91566,99551,2024-06-04T12:07:01.000Z,37,26477,Exfiltration,,FalsePositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,309,425863,453297,153085,179649,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
773094118231,614,24763,341053,2024-06-07T14:22:44.000Z,5,2282,SuspiciousActivity,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,6920,10163,6985,7486,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1589137900116,42,368,56025,2024-06-13T22:22:45.000Z,43,28,Malware,T1027;T1027.002;T1027.005;T1105;T1204.002,BenignPositive,,,File,Related,98799,2474,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,2882,10,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1417339212121,323,7850,2477,2024-06-14T07:08:37.000Z,527,1910,Exfiltration,,BenignPositive,,,File,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,133867,0,3586,,,5,66,,,,242,1445,10630
738734375476,644,30600,817968,2024-06-09T14:16:11.000Z,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1365799600695,317,559020,1097260,2024-06-13T15:20:48.000Z,107,46396,DefenseEvasion,,BenignPositive,,,File,Related,98799,58574,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,CandyOpen,133975,30699,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
979252545689,13,5312,8745,2024-06-13T13:02:56.000Z,243,4820,Exfiltration,,BenignPositive,,,File,Impacted,98799,85623,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,254136,5722,3586,,,5,66,,,,242,1445,10630
721554510835,126,888,53650,2024-06-09T00:41:19.000Z,7,6,InitialAccess,,TruePositive,,,User,Impacted,98799,138268,360606,160396,959,1325,953,1018,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
455266537754,191,10692,217324,2024-06-04T02:35:36.000Z,35,23,InitialAccess,T1566,BenignPositive,,,Mailbox,Impacted,98799,138268,360606,160396,21052,34267,20598,20440,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
489626271745,25,123,1115623,2024-06-05T00:48:24.000Z,67,48856,Exfiltration,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,76387,72041,66815,69103,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
927712938177,313,3864,53471,2024-06-02T08:01:44.000Z,7,6,InitialAccess,,TruePositive,,,User,Impacted,98799,138268,360606,160396,128,181,120,147,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
111669154679,37,34,3417,2024-06-06T04:36:28.000Z,97,1568,Exfiltration,,FalsePositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,131538,425863,453297,153085,825,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
180388631072,173,21474,277218,2024-06-10T20:55:03.000Z,2,2,CommandAndControl,,TruePositive,,,Machine,Impacted,20232,138268,360606,160396,441377,673934,425863,453297,32415,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,0,0,,Suspicious,Suspicious,242,1445,10630
1322849927807,43,682,3723,2024-05-20T14:32:58.000Z,52,10,Impact,,BenignPositive,,,Ip,Related,98799,138268,49600,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
206158434794,1380,53796,1163553,2024-06-07T06:27:41.000Z,365,372,LateralMovement,T1210,BenignPositive,,,Machine,Impacted,25626,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,Source,5,66,,,,242,1445,10630
1546188230090,35,165,1240204,2024-06-03T01:55:20.000Z,7,6,InitialAccess,,TruePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
549755815919,23,176,997437,2024-06-05T16:38:32.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,User,Impacted,98799,138268,360606,160396,3733,5058,3759,3944,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
180388628218,0,612,73774,2024-06-04T16:02:44.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,60,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,7,8,6
120259086544,48,256602,577113,2024-06-10T17:42:41.000Z,9,45,Execution,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,20966,33012,20403,21922,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
352187318280,6,146563,470762,2024-06-03T02:07:25.000Z,3,4,SuspiciousActivity,,BenignPositive,,,Process,Related,98799,490,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,237,3389,3586,,,5,66,,Suspicious,,242,1445,10630
1468878816857,1,485,125687,2024-06-03T10:26:24.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,5462,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,3,5,21
1700807053108,14,1720,71,2024-05-23T03:28:17.000Z,41,89,Impact,,TruePositive,,,Ip,Related,98799,138268,4589,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1700807050817,595,285824,1573370,2024-06-04T13:53:24.000Z,292,8224,Malware,,TruePositive,,,File,Related,98799,121551,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,39822,76664,3586,,,5,66,,Suspicious,Malicious,242,1445,10630
1666447315001,115,148830,721676,2024-06-07T16:44:54.000Z,3,4,SuspiciousActivity,,TruePositive,,,Machine,Impacted,783,138268,360606,160396,441377,673934,425863,453297,2108,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
1039382087499,262,24385,8817,2024-06-11T13:38:59.000Z,417,3459,Exfiltration,,BenignPositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,16116,425863,453297,153085,190,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1082331763540,334,2137,57597,2024-06-15T00:24:43.000Z,439,20383,Exfiltration,,TruePositive,,,File,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,116339,27787,3586,,,5,66,,,,242,1445,10630
